airline,origin,destination,departure_hour,month,day_of_week,distance,weather,delay_minutes,delayed
6E,DEL,BLR,14,7,Monday,823,Cloudy,7,0
6E,BOM,MAA,16,3,Tuesday,1884,Clear,15,1
SG,DEL,HYD,10,2,Wednesday,632,Cloudy,13,0
SG,MAA,CCU,23,10,Saturday,553,Clear,0,0
AI,DEL,CCU,5,8,Friday,1104,Clear,13,0
QP,BOM,BLR,19,3,Monday,1797,Cloudy,10,0
AI,CCU,BOM,18,7,Tuesday,1613,Rain,38,1
QP,HYD,BOM,20,7,Saturday,1866,Clear,29,1
AI,MAA,CCU,1,1,Friday,1233,Rain,19,1
SG,MAA,CCU,10,4,Friday,809,Clear,12,0
SG,BOM,HYD,15,11,Wednesday,945,Cloudy,6,0
SG,HYD,BLR,14,5,Saturday,1294,Rain,26,1
SG,BOM,HYD,16,9,Friday,1916,Fog,58,1
UK,HYD,DEL,15,8,Monday,943,Clear,0,0
SG,MAA,CCU,5,1,Saturday,768,Rain,19,1
6E,CCU,MAA,19,12,Wednesday,994,Rain,26,1
SG,CCU,HYD,11,12,Saturday,1094,Clear,3,0
UK,DEL,MAA,23,9,Friday,1424,Clear,5,0
UK,BOM,MAA,12,2,Tuesday,807,Rain,16,1
UK,HYD,BLR,12,11,Monday,1566,Clear,0,0
UK,BOM,MAA,14,1,Monday,1207,Cloudy,0,0
AI,HYD,CCU,20,7,Tuesday,1022,Clear,5,0
AI,CCU,BOM,21,6,Monday,1004,Clear,3,0
6E,BOM,CCU,14,9,Friday,1730,Clear,0,0
AI,CCU,DEL,13,2,Tuesday,1428,Clear,0,0
UK,CCU,BOM,1,11,Thursday,1090,Clear,0,0
SG,CCU,BOM,1,7,Wednesday,1092,Rain,37,1
SG,DEL,HYD,17,4,Friday,746,Cloudy,28,1
UK,BOM,CCU,8,4,Monday,559,Clear,13,0
QP,DEL,MAA,10,9,Wednesday,1734,Cloudy,24,1
UK,DEL,HYD,15,3,Saturday,1813,Clear,0,0
AI,DEL,MAA,5,4,Tuesday,819,Clear,0,0
SG,BLR,BOM,7,12,Saturday,837,Clear,6,0
UK,DEL,HYD,1,11,Tuesday,1632,Clear,0,0
SG,BOM,HYD,18,4,Friday,948,Clear,15,1
UK,CCU,BOM,12,7,Tuesday,1526,Cloudy,6,0
UK,CCU,HYD,4,5,Wednesday,1722,Fog,32,1
AI,CCU,BLR,14,3,Thursday,1673,Clear,4,0
UK,DEL,MAA,3,4,Friday,1327,Clear,5,0
SG,HYD,CCU,18,2,Thursday,495,Cloudy,15,1
6E,HYD,MAA,5,11,Friday,1618,Rain,4,0
SG,DEL,BLR,6,3,Wednesday,789,Clear,10,0
AI,CCU,DEL,21,3,Friday,799,Rain,25,1
6E,BLR,CCU,17,8,Monday,682,Storm,57,1
UK,CCU,BLR,16,2,Monday,629,Clear,3,0
QP,DEL,HYD,14,12,Tuesday,770,Clear,0,0
6E,HYD,DEL,12,11,Sunday,1062,Cloudy,1,0
6E,DEL,CCU,4,5,Friday,459,Clear,0,0
UK,CCU,BOM,7,3,Wednesday,775,Clear,0,0
QP,HYD,CCU,23,2,Friday,744,Rain,24,1
QP,DEL,BOM,22,11,Tuesday,1499,Cloudy,2,0
AI,BOM,CCU,17,6,Saturday,1384,Cloudy,29,1
6E,BLR,HYD,21,7,Wednesday,636,Cloudy,0,0
QP,DEL,MAA,19,2,Friday,1705,Clear,30,1
AI,DEL,HYD,9,10,Tuesday,590,Rain,35,1
QP,CCU,BLR,17,7,Monday,529,Rain,31,1
6E,CCU,HYD,18,1,Sunday,1098,Rain,34,1
QP,HYD,DEL,3,1,Friday,1752,Clear,0,0
6E,CCU,HYD,21,12,Friday,820,Rain,21,1
UK,HYD,MAA,11,1,Friday,1962,Rain,9,0
SG,DEL,MAA,7,4,Sunday,943,Clear,6,0
AI,MAA,CCU,11,1,Monday,1221,Clear,8,0
UK,DEL,HYD,7,1,Sunday,868,Clear,0,0
UK,MAA,BLR,7,10,Thursday,1372,Clear,0,0
SG,BLR,DEL,13,10,Friday,870,Clear,0,0
QP,DEL,MAA,23,4,Sunday,859,Clear,3,0
SG,BOM,BLR,9,3,Saturday,1010,Clear,2,0
UK,MAA,HYD,5,3,Wednesday,771,Clear,3,0
UK,CCU,HYD,18,5,Sunday,1319,,5,0
UK,HYD,CCU,7,10,Monday,1106,Cloudy,0,0
QP,DEL,BOM,12,8,Tuesday,1435,Cloudy,32,1
6E,CCU,BLR,6,6,Tuesday,743,Cloudy,16,1
AI,MAA,CCU,5,1,Tuesday,1188,Clear,0,0
6E,BLR,HYD,6,2,Friday,1529,Rain,20,1
AI,HYD,BOM,8,3,Wednesday,624,Cloudy,10,0
AI,CCU,BLR,22,3,Saturday,777,Cloudy,0,0
AI,BLR,MAA,16,6,Friday,468,Rain,48,1
SG,DEL,CCU,16,11,Friday,794,Clear,13,0
SG,DEL,MAA,1,6,Saturday,1849,Cloudy,9,0
SG,HYD,BLR,0,4,Wednesday,657,Rain,27,1
UK,CCU,MAA,8,7,Wednesday,861,Clear,8,0
SG,MAA,DEL,21,1,Monday,924,Clear,13,0
AI,HYD,BOM,0,9,Saturday,1570,Clear,3,0
QP,BOM,DEL,18,1,Tuesday,1424,Clear,25,1
UK,BLR,HYD,19,5,Friday,569,Fog,30,1
QP,DEL,BLR,6,12,Saturday,745,Rain,31,1
AI,BLR,BOM,2,5,Wednesday,1395,Clear,13,0
UK,HYD,DEL,3,9,Tuesday,1584,Clear,0,0
SG,CCU,HYD,1,4,Friday,1261,Rain,17,1
UK,CCU,MAA,20,11,Wednesday,1066,Cloudy,12,0
UK,MAA,BOM,18,5,Saturday,1173,Clear,1,0
AI,DEL,HYD,16,3,Thursday,1642,Clear,16,1
6E,MAA,CCU,2,1,Wednesday,926,Fog,27,1
6E,BOM,HYD,22,4,Saturday,1688,Clear,0,0
6E,HYD,BLR,16,7,Wednesday,1697,Clear,10,0
SG,CCU,BOM,19,1,Saturday,1866,Clear,12,0
SG,CCU,BOM,9,3,Friday,1353,Rain,48,1
SG,HYD,CCU,4,5,Sunday,957,Cloudy,15,1
6E,BOM,MAA,19,9,Thursday,1554,Clear,12,0
QP,HYD,CCU,1,8,Monday,1179,Clear,0,0
AI,MAA,HYD,4,1,Tuesday,1748,Fog,26,1
6E,HYD,CCU,3,1,Monday,1711,Clear,0,0
AI,BLR,MAA,2,1,Saturday,502,Clear,10,0
6E,BLR,DEL,13,4,Tuesday,1512,Clear,0,0
QP,HYD,BOM,5,4,Tuesday,1462,Clear,17,1
6E,DEL,BOM,23,2,Friday,1282,Fog,31,1
QP,CCU,HYD,22,6,Tuesday,1796,Clear,15,1
UK,DEL,BOM,4,8,Sunday,417,Clear,4,0
SG,CCU,BLR,19,9,Sunday,1797,Clear,31,1
UK,DEL,BLR,0,12,Thursday,701,Clear,0,0
6E,HYD,MAA,6,9,Friday,570,Clear,0,0
SG,BLR,HYD,15,12,Wednesday,1496,Fog,44,1
QP,HYD,DEL,4,12,Thursday,1682,Clear,0,0
6E,BLR,MAA,1,11,Thursday,1780,Clear,5,0
SG,CCU,BLR,3,5,Wednesday,489,Clear,18,1
6E,DEL,HYD,15,1,Thursday,1691,Fog,23,1
SG,CCU,HYD,5,1,Tuesday,1589,Fog,27,1
SG,MAA,BOM,5,11,Friday,1117,Fog,28,1
UK,MAA,BLR,4,11,Monday,1377,Clear,0,0
SG,DEL,CCU,21,4,Sunday,1014,Cloudy,20,1
6E,DEL,BOM,21,9,Sunday,1039,Cloudy,25,1
AI,BLR,CCU,19,6,Tuesday,758,Clear,11,0
AI,BOM,BLR,0,1,Monday,990,Cloudy,13,0
UK,MAA,CCU,6,8,Thursday,1391,Cloudy,0,0
QP,CCU,BLR,21,2,Monday,786,Cloudy,3,0
AI,BLR,MAA,13,2,Wednesday,1564,Clear,0,0
UK,MAA,BOM,0,6,Saturday,1113,Clear,0,0
SG,DEL,MAA,5,1,Wednesday,1767,Cloudy,10,0
6E,MAA,BLR,19,5,Sunday,617,Clear,7,0
SG,DEL,CCU,21,10,Monday,733,Clear,2,0
6E,MAA,CCU,10,8,Friday,969,Cloudy,16,1
QP,BLR,HYD,3,1,Thursday,1310,Clear,0,0
UK,BLR,CCU,1,3,Tuesday,1218,Clear,0,0
UK,BOM,HYD,5,12,Thursday,604,Clear,0,0
AI,BLR,DEL,19,12,Tuesday,1094,Clear,2,0
UK,CCU,MAA,19,12,Friday,1178,Clear,6,0
QP,MAA,HYD,6,7,Sunday,1425,Rain,27,1
AI,BLR,DEL,23,6,Thursday,1081,Rain,24,1
SG,BOM,DEL,21,10,Friday,1357,Clear,0,0
UK,HYD,MAA,23,12,Friday,1335,Cloudy,0,0
SG,MAA,CCU,18,2,Saturday,606,Clear,13,0
SG,BOM,MAA,13,11,Thursday,1495,Clear,10,0
UK,MAA,BLR,23,8,Thursday,1674,Rain,24,1
6E,CCU,BOM,16,2,Monday,1209,Storm,55,1
SG,CCU,BLR,19,11,Saturday,791,Clear,19,1
AI,HYD,BOM,9,1,Sunday,1113,Rain,32,1
UK,BOM,MAA,5,1,Sunday,665,Clear,0,0
AI,BOM,DEL,13,5,Saturday,1238,Rain,32,1
SG,MAA,HYD,9,7,Wednesday,723,Cloudy,19,1
SG,BLR,BOM,8,6,Friday,957,Clear,17,1
AI,DEL,MAA,16,3,Wednesday,1605,Rain,30,1
SG,MAA,BOM,14,8,Sunday,1726,Cloudy,22,1
UK,DEL,MAA,7,6,Monday,1307,Storm,47,1
SG,CCU,HYD,5,2,Sunday,1942,Clear,15,1
AI,BLR,HYD,13,10,Saturday,920,Fog,17,1
AI,BLR,HYD,7,4,Sunday,903,Rain,30,1
UK,DEL,HYD,5,9,Tuesday,1716,Clear,1,0
AI,BOM,BLR,5,5,Thursday,1371,Clear,0,0
6E,CCU,BLR,15,10,Tuesday,1099,Fog,20,1
SG,HYD,MAA,9,4,Friday,926,Cloudy,9,0
AI,CCU,BOM,8,3,Friday,1207,Clear,13,0
SG,CCU,MAA,2,1,Friday,1820,Clear,6,0
AI,DEL,BOM,1,10,Saturday,797,Clear,3,0
AI,BLR,DEL,16,9,Monday,1594,Clear,16,1
UK,CCU,BLR,23,8,Wednesday,1077,Clear,0,0
SG,BLR,BOM,7,8,Tuesday,1052,Cloudy,7,0
AI,HYD,MAA,20,1,Sunday,819,Clear,0,0
6E,HYD,MAA,14,5,Thursday,1504,Clear,10,0
QP,MAA,DEL,7,11,Tuesday,978,Clear,0,0
QP,CCU,BLR,13,4,Wednesday,1007,Clear,20,1
UK,CCU,MAA,3,1,Thursday,1713,Cloudy,0,0
UK,HYD,MAA,8,11,Wednesday,1238,Clear,0,0
6E,HYD,DEL,17,1,Friday,612,Fog,33,1
SG,BLR,HYD,20,9,Saturday,1722,Cloudy,34,1
UK,DEL,HYD,5,11,Friday,775,Rain,20,1
6E,MAA,BOM,21,9,Friday,1664,Clear,0,0
AI,DEL,HYD,14,1,Friday,1158,Rain,22,1
AI,MAA,HYD,5,11,Wednesday,1404,Cloudy,0,0
QP,BLR,DEL,18,2,Friday,1470,Storm,57,1
UK,MAA,BOM,21,11,Monday,924,Cloudy,0,0
UK,CCU,BOM,6,1,Saturday,865,Fog,20,1
UK,HYD,DEL,2,6,Wednesday,700,Rain,9,0
SG,HYD,MAA,6,11,Saturday,921,Fog,18,1
AI,BLR,HYD,18,4,Tuesday,655,Cloudy,27,1
AI,BLR,CCU,1,1,Sunday,640,Clear,3,0
6E,DEL,HYD,6,2,Thursday,1105,Cloudy,9,0
UK,DEL,HYD,7,5,Sunday,1616,Fog,35,1
SG,MAA,HYD,0,5,Wednesday,933,Storm,27,1
UK,CCU,BOM,14,3,Thursday,1634,Fog,21,1
UK,DEL,HYD,19,6,Friday,866,Clear,26,1
QP,BOM,DEL,3,5,Friday,1319,Rain,17,1
AI,HYD,BOM,21,8,Tuesday,1191,,0,0
UK,MAA,BLR,22,4,Wednesday,1355,Cloudy,0,0
UK,MAA,BLR,20,4,Tuesday,1377,Clear,0,0
UK,MAA,BLR,17,11,Friday,1571,Clear,9,0
QP,DEL,BOM,10,10,Wednesday,1106,Clear,8,0
6E,BOM,DEL,4,10,Monday,720,Clear,0,0
QP,BLR,DEL,21,5,Wednesday,574,Clear,0,0
6E,DEL,CCU,12,11,Wednesday,1659,Cloudy,0,0
UK,BLR,CCU,10,5,Thursday,733,Clear,2,0
UK,BLR,CCU,9,9,Sunday,505,Cloudy,3,0
QP,CCU,BLR,5,10,Sunday,996,Clear,0,0
UK,BOM,BLR,9,4,Friday,1797,Clear,2,0
6E,CCU,BLR,19,8,Sunday,1012,Clear,9,0
AI,MAA,CCU,13,3,Monday,1336,Clear,9,0
6E,MAA,HYD,9,5,Sunday,1132,Rain,23,1
QP,MAA,DEL,2,7,Thursday,1665,Rain,20,1
AI,CCU,BOM,9,8,Wednesday,1554,Cloudy,18,1
QP,BOM,CCU,5,5,Wednesday,1035,Cloudy,1,0
UK,BLR,DEL,9,9,Wednesday,1042,Cloudy,4,0
AI,HYD,CCU,3,8,Saturday,1133,Rain,42,1
6E,CCU,MAA,22,11,Thursday,1512,Clear,2,0
UK,DEL,BOM,4,1,Monday,1546,Clear,0,0
6E,BLR,HYD,2,7,Sunday,816,Rain,26,1
AI,BOM,HYD,15,9,Friday,934,Clear,7,0
SG,BOM,MAA,8,6,Wednesday,1445,Fog,55,1
SG,MAA,DEL,23,4,Friday,1222,Rain,0,0
AI,BOM,DEL,9,7,Wednesday,1488,Clear,11,0
6E,MAA,BOM,15,6,Friday,441,Fog,21,1
6E,CCU,BLR,20,6,Monday,1655,Clear,21,1
SG,MAA,BLR,23,12,Tuesday,1688,Cloudy,6,0
SG,BOM,CCU,19,6,Wednesday,1720,Cloudy,19,1
SG,DEL,HYD,13,3,Saturday,815,Rain,26,1
QP,BLR,BOM,19,1,Saturday,1171,,7,0
SG,HYD,DEL,6,2,Saturday,1283,Clear,9,0
6E,MAA,DEL,20,7,Thursday,705,Clear,11,0
AI,BLR,DEL,20,3,Wednesday,1568,Clear,11,0
SG,BOM,CCU,9,2,Thursday,600,Clear,10,0
QP,CCU,BOM,1,5,Tuesday,1486,Clear,0,0
QP,CCU,DEL,16,3,Thursday,1323,Cloudy,10,0
6E,HYD,MAA,2,7,Friday,1241,Clear,0,0
6E,MAA,BOM,0,1,Sunday,1589,Clear,9,0
AI,CCU,BLR,22,12,Wednesday,1173,,0,0
AI,BLR,HYD,13,11,Monday,615,Rain,23,1
UK,DEL,HYD,15,11,Wednesday,1007,Cloudy,0,0
UK,HYD,BLR,21,3,Saturday,1620,Clear,0,0
6E,BLR,BOM,22,9,Thursday,474,Clear,0,0
6E,MAA,BOM,22,1,Wednesday,520,Clear,0,0
QP,MAA,BOM,3,9,Thursday,1555,Clear,0,0
UK,BLR,DEL,7,10,Tuesday,542,Rain,3,0
QP,BLR,HYD,18,4,Saturday,1745,Clear,0,0
QP,BLR,HYD,0,6,Friday,1291,Clear,22,1
6E,HYD,DEL,5,12,Sunday,1360,Cloudy,0,0
6E,HYD,BOM,12,3,Monday,1432,Rain,8,0
QP,HYD,MAA,8,7,Friday,1664,Clear,5,0
SG,HYD,BOM,4,4,Monday,1708,Cloudy,15,1
6E,CCU,BLR,21,2,Monday,1645,Fog,18,1
SG,BOM,MAA,10,9,Saturday,1329,Rain,36,1
UK,BOM,MAA,9,12,Wednesday,921,Clear,0,0
QP,MAA,BOM,15,7,Wednesday,920,Clear,8,0
6E,CCU,BLR,16,7,Tuesday,774,Cloudy,19,1
QP,HYD,BLR,11,7,Monday,1913,Fog,29,1
QP,BLR,CCU,21,2,Friday,1376,Cloudy,5,0
AI,BLR,CCU,7,3,Thursday,435,Fog,21,1
AI,BLR,DEL,20,9,Friday,537,Cloudy,41,1
UK,DEL,CCU,20,8,Tuesday,1167,Clear,6,0
AI,HYD,CCU,0,3,Sunday,427,Clear,0,0
6E,BOM,CCU,18,1,Monday,1595,Fog,34,1
UK,BOM,MAA,3,3,Thursday,437,Clear,0,0
QP,HYD,MAA,11,7,Thursday,1459,Cloudy,5,0
QP,CCU,DEL,22,4,Monday,1308,Clear,0,0
AI,BOM,DEL,4,9,Friday,1491,Clear,13,0
QP,CCU,HYD,13,7,Friday,1317,Cloudy,6,0
AI,HYD,BOM,18,2,Thursday,899,Clear,6,0
SG,CCU,BOM,11,4,Wednesday,652,Fog,17,1
QP,BLR,BOM,1,1,Sunday,1261,Clear,0,0
QP,CCU,BLR,1,1,Tuesday,858,Rain,14,0
6E,HYD,DEL,12,10,Saturday,1624,Clear,0,0
QP,MAA,CCU,0,5,Wednesday,1393,Clear,0,0
AI,HYD,MAA,0,11,Wednesday,1783,Clear,0,0
UK,BLR,MAA,22,3,Tuesday,1259,Clear,0,0
UK,HYD,CCU,12,4,Friday,1586,Cloudy,0,0
6E,CCU,HYD,11,7,Tuesday,1510,Clear,3,0
AI,MAA,BLR,2,4,Wednesday,1522,Clear,7,0
SG,DEL,CCU,18,6,Thursday,820,Rain,66,1
6E,MAA,HYD,12,2,Monday,1496,Cloudy,12,0
SG,CCU,BLR,5,1,Saturday,1358,Fog,26,1
UK,MAA,BLR,18,11,Wednesday,1492,Rain,25,1
6E,BLR,DEL,5,3,Sunday,819,Cloudy,10,0
QP,BLR,CCU,12,2,Friday,690,Clear,2,0
AI,MAA,HYD,13,4,Tuesday,1791,Fog,25,1
SG,HYD,MAA,6,6,Friday,929,Clear,10,0
SG,BLR,BOM,21,6,Thursday,1888,Clear,12,0
6E,BLR,CCU,16,10,Thursday,864,Clear,0,0
6E,BLR,BOM,6,10,Saturday,932,Clear,0,0
AI,DEL,BOM,3,4,Friday,1129,Rain,19,1
QP,DEL,MAA,7,3,Sunday,628,Clear,21,1
QP,DEL,BOM,11,2,Sunday,1100,Clear,1,0
6E,BLR,BOM,13,2,Saturday,656,Cloudy,2,0
AI,HYD,MAA,9,1,Thursday,705,Rain,24,1
AI,BLR,BOM,0,1,Thursday,714,Fog,27,1
AI,CCU,MAA,16,6,Sunday,951,Cloudy,35,1
QP,BOM,MAA,9,8,Sunday,1178,Clear,25,1
QP,BLR,HYD,8,10,Wednesday,929,Clear,2,0
AI,BOM,HYD,13,4,Friday,870,Clear,12,0
SG,BOM,MAA,20,4,Friday,1781,Clear,27,1
AI,HYD,MAA,0,9,Monday,650,Rain,14,0
6E,BOM,CCU,23,8,Monday,1352,Rain,26,1
UK,BOM,CCU,15,9,Monday,883,Clear,0,0
SG,MAA,DEL,13,3,Tuesday,491,Clear,3,0
QP,MAA,DEL,1,1,Sunday,1585,Fog,32,1
AI,BOM,BLR,17,7,Wednesday,648,Clear,22,1
AI,DEL,HYD,17,6,Sunday,674,Clear,29,1
6E,BOM,BLR,13,4,Thursday,658,Clear,0,0
6E,HYD,MAA,19,12,Thursday,616,Clear,0,0
QP,CCU,BOM,20,2,Tuesday,762,Clear,19,1
SG,DEL,CCU,20,4,Friday,530,Cloudy,34,1
6E,DEL,CCU,7,9,Friday,659,Clear,22,1
QP,HYD,BLR,16,7,Wednesday,563,Clear,10,0
UK,CCU,HYD,1,3,Saturday,740,Clear,0,0
UK,HYD,BOM,13,7,Friday,699,Clear,0,0
UK,CCU,HYD,3,6,Friday,861,Clear,18,1
AI,HYD,MAA,7,4,Thursday,1651,Clear,0,0
QP,DEL,BOM,16,9,Friday,621,Clear,30,1
AI,BLR,BOM,10,10,Wednesday,1854,Clear,19,1
AI,MAA,CCU,20,1,Sunday,1332,Fog,44,1
6E,HYD,MAA,2,1,Thursday,595,Clear,0,0
6E,BOM,BLR,23,11,Tuesday,699,Rain,25,1
AI,BOM,HYD,16,3,Thursday,700,Fog,42,1
AI,HYD,BLR,10,2,Sunday,1533,Clear,0,0
SG,BLR,CCU,0,8,Sunday,740,Clear,23,1
QP,HYD,MAA,1,4,Wednesday,1154,Clear,0,0
AI,BLR,BOM,9,12,Sunday,466,Rain,24,1
6E,BLR,MAA,13,12,Wednesday,1142,Clear,0,0
UK,HYD,MAA,12,1,Tuesday,1620,Clear,0,0
QP,DEL,BLR,7,3,Tuesday,1492,Clear,2,0
SG,BLR,MAA,15,8,Tuesday,1242,Clear,11,0
SG,BLR,BOM,14,5,Wednesday,877,Cloudy,16,1
UK,MAA,BOM,8,1,Wednesday,933,Cloudy,4,0
UK,MAA,DEL,7,6,Wednesday,951,Clear,0,0
AI,BLR,HYD,10,8,Monday,800,Clear,18,1
QP,BOM,DEL,17,12,Wednesday,1375,Rain,46,1
QP,BOM,MAA,14,5,Thursday,728,Rain,18,1
AI,BOM,MAA,3,10,Wednesday,1700,Clear,0,0
SG,BOM,HYD,22,6,Thursday,591,Cloudy,12,0
AI,MAA,BLR,4,9,Tuesday,1416,Rain,31,1
SG,DEL,BLR,16,12,Monday,1586,Clear,18,1
QP,DEL,CCU,0,10,Sunday,1385,Clear,1,0
AI,HYD,BLR,6,9,Sunday,1298,Clear,15,1
UK,BOM,MAA,13,10,Wednesday,1053,Clear,0,0
AI,MAA,BLR,20,3,Saturday,503,Clear,20,1
UK,MAA,HYD,13,10,Monday,1382,Rain,11,0
QP,MAA,DEL,1,12,Tuesday,755,Rain,19,1
AI,BLR,HYD,22,12,Thursday,654,Cloudy,2,0
6E,BLR,HYD,6,4,Friday,1584,Rain,4,0
QP,BLR,HYD,8,6,Friday,714,Fog,37,1
6E,BOM,DEL,2,9,Wednesday,1209,Cloudy,5,0
AI,HYD,BLR,16,1,Sunday,904,Fog,31,1
UK,CCU,HYD,10,9,Friday,796,Fog,38,1
UK,BOM,MAA,5,4,Wednesday,1822,Clear,1,0
SG,DEL,MAA,15,11,Thursday,1299,Fog,33,1
6E,HYD,CCU,4,8,Wednesday,1132,Storm,43,1
QP,BLR,HYD,12,5,Monday,1444,Clear,0,0
UK,MAA,BLR,15,1,Monday,959,Cloudy,0,0
6E,CCU,HYD,19,9,Thursday,1168,Clear,10,0
